dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,seed,N_B,N_labels,mean_width,coverage
mmlu-pro,0.0,1e-05,0.025,0.25,61,300,287.1631164550781,0.1206698343157768,0.9570718481699052
mmlu-pro,0.0,1e-05,0.025,0.25,62,300,287.31585693359375,0.1203102618455886,0.9448712155445096
mmlu-pro,0.0,1e-05,0.025,0.25,63,300,286.8350524902344,0.1202326342463493,0.9493899683687302
mmlu-pro,0.0,1e-05,0.025,0.25,64,300,287.03387451171875,0.1204932928085327,0.947582467239042
mmlu-pro,0.0,1e-05,0.025,0.25,65,300,287.2711181640625,0.1204079240560531,0.9548124717577948
mmlu-pro,0.0,1e-05,0.025,0.25,66,300,287.4667663574219,0.1202738955616951,0.946678716674198
mmlu-pro,0.0,1e-05,0.025,0.25,67,300,287.30499267578125,0.1203917562961578,0.9435155896972436
mmlu-pro,0.0,1e-05,0.025,0.25,68,300,286.97650146484375,0.1197498142719268,0.948034342521464
mmlu-pro,0.0,1e-05,0.025,0.25,69,300,287.3962707519531,0.1204219758510589,0.9484862178038862
mmlu-pro,0.0,1e-05,0.025,0.25,70,300,286.9972839355469,0.1202931478619575,0.9570718481699052
mmlu-pro,0.0,1e-05,0.025,0.25,71,300,287.0614318847656,0.1204254180192947,0.9548124717577948
mmlu-pro,0.0,1e-05,0.025,0.25,72,300,287.36962890625,0.1204867586493492,0.9539087211929508
mmlu-pro,0.0,1e-05,0.025,0.25,73,300,287.16900634765625,0.1203749179840087,0.9534568459105288
mmlu-pro,0.0,1e-05,0.025,0.25,74,300,287.154541015625,0.1203931793570518,0.9498418436511524
mmlu-pro,0.0,1e-05,0.025,0.25,75,300,287.4351501464844,0.1204976290464401,0.9453230908269318
mmlu-pro,0.0,1e-05,0.025,0.25,76,300,287.2882995605469,0.1200542598962783,0.9543605964753727
mmlu-pro,0.0,1e-05,0.025,0.25,77,300,287.3199157714844,0.1203838586807251,0.9525530953456848
mmlu-pro,0.0,1e-05,0.025,0.25,78,300,287.0379638671875,0.1206667870283126,0.9511974694984184
mmlu-pro,0.0,1e-05,0.025,0.25,79,300,286.7207336425781,0.1200649887323379,0.9552643470402168
mmlu-pro,0.0,1e-05,0.025,0.25,80,300,287.4003601074219,0.1205598339438438,0.946678716674198
mmlu-pro,0.0,1e-05,0.025,0.25,81,300,287.0,0.1204478442668914,0.945774966109354
mmlu-pro,0.0,1e-05,0.025,0.25,82,300,287.1500244140625,0.1204489767551422,0.9453230908269318
mmlu-pro,0.0,1e-05,0.025,0.25,83,300,287.4690246582031,0.1206181496381759,0.9525530953456848
mmlu-pro,0.0,1e-05,0.025,0.25,84,300,287.0677795410156,0.1201943531632423,0.9507455942159964
mmlu-pro,0.0,1e-05,0.025,0.25,85,300,287.18389892578125,0.120464913547039,0.946678716674198
mmlu-pro,0.0,1e-05,0.025,0.25,86,300,287.1798400878906,0.1205433830618858,0.9620424762765476
mmlu-pro,0.0,1e-05,0.025,0.25,87,300,287.3651123046875,0.1202219352126121,0.9543605964753727
mmlu-pro,0.0,1e-05,0.025,0.25,88,300,287.30499267578125,0.1203754842281341,0.9448712155445096
mmlu-pro,0.0,1e-05,0.025,0.25,89,300,287.08538818359375,0.1199375241994857,0.9593312245820154
mmlu-pro,0.0,1e-05,0.025,0.25,90,300,287.0465393066406,0.1202994883060455,0.9543605964753727
mmlu-pro,0.0,1e-05,0.025,0.25,91,300,287.51513671875,0.1203655153512954,0.9534568459105288
mmlu-pro,0.0,1e-05,0.025,0.25,92,300,287.2236633300781,0.1203645914793014,0.9521012200632626
mmlu-pro,0.0,1e-05,0.025,0.25,93,300,286.9742431640625,0.1203268468379974,0.9552643470402168
mmlu-pro,0.0,1e-05,0.025,0.25,94,300,287.1192932128906,0.1203103959560394,0.956168097605061
mmlu-pro,0.0,1e-05,0.025,0.25,95,300,286.7437744140625,0.1205326914787292,0.9502937189335744
mmlu-pro,0.0,1e-05,0.025,0.25,96,300,287.08990478515625,0.1201776936650276,0.9534568459105288
mmlu-pro,0.0,1e-05,0.025,0.25,97,300,286.8888244628906,0.1206552758812904,0.946226841391776
mmlu-pro,0.0,1e-05,0.025,0.25,98,300,287.1011962890625,0.1203709095716476,0.9511974694984184
mmlu-pro,0.0,1e-05,0.025,0.25,99,300,286.84906005859375,0.1199820712208747,0.948034342521464
mmlu-pro,0.0,1e-05,0.025,0.5,0,300,287.3199157714844,0.1162239089608192,0.9525530953456848
mmlu-pro,0.0,1e-05,0.025,0.5,1,300,287.7821960449219,0.1161860153079032,0.9539087211929508
mmlu-pro,0.0,1e-05,0.025,0.5,2,300,287.21417236328125,0.1161554306745529,0.9421599638499776
mmlu-pro,0.0,1e-05,0.025,0.5,3,300,287.5585021972656,0.1161381751298904,0.9511974694984184
mmlu-pro,0.0,1e-05,0.025,0.5,4,300,287.536376953125,0.1160619184374809,0.9502937189335744
mmlu-pro,0.0,1e-05,0.025,0.5,5,300,287.4934387207031,0.1161657869815826,0.9498418436511524
mmlu-pro,0.0,1e-05,0.025,0.5,6,300,287.6791687011719,0.1161596626043319,0.9511974694984184
mmlu-pro,0.0,1e-05,0.025,0.5,7,300,287.530029296875,0.1161375269293785,0.94713059195662
mmlu-pro,0.0,1e-05,0.025,0.5,8,300,287.2584533691406,0.1161789149045944,0.9439674649796655
mmlu-pro,0.0,1e-05,0.025,0.5,9,300,287.2525939941406,0.1158241480588913,0.946678716674198
mmlu-pro,0.0,1e-05,0.025,0.5,10,300,287.5359191894531,0.1162445023655891,0.9453230908269318
mmlu-pro,0.0,1e-05,0.025,0.5,11,300,287.56890869140625,0.1161869913339614,0.9489380930863082
mmlu-pro,0.0,1e-05,0.025,0.5,12,300,287.4125671386719,0.1160240471363067,0.946678716674198
mmlu-pro,0.0,1e-05,0.025,0.5,13,300,287.403076171875,0.1161915436387062,0.9489380930863082
mmlu-pro,0.0,1e-05,0.025,0.5,14,300,287.7225341796875,0.1158953607082367,0.9439674649796655
mmlu-pro,0.0,1e-05,0.025,0.5,15,300,287.55987548828125,0.1161956414580345,0.9534568459105288
mmlu-pro,0.0,1e-05,0.025,0.5,16,300,287.2679443359375,0.1160759553313255,0.945774966109354
mmlu-pro,0.0,1e-05,0.025,0.5,17,300,287.1463928222656,0.1160098761320114,0.948034342521464
mmlu-pro,0.0,1e-05,0.025,0.5,18,300,287.0618896484375,0.115966610610485,0.9543605964753727
mmlu-pro,0.0,1e-05,0.025,0.5,19,300,287.71441650390625,0.1161488369107246,0.9539087211929508
mmlu-pro,0.0,1e-05,0.025,0.5,20,300,287.4654235839844,0.116125613451004,0.9453230908269318
mmlu-pro,0.0,1e-05,0.025,0.5,21,300,287.4988708496094,0.1160007864236831,0.94713059195662
mmlu-pro,0.0,1e-05,0.025,0.5,22,300,287.41119384765625,0.1160747706890106,0.955716222322639
mmlu-pro,0.0,1e-05,0.025,0.5,23,300,287.4988708496094,0.1160515323281288,0.9552643470402168
mmlu-pro,0.0,1e-05,0.025,0.5,24,300,287.4812316894531,0.1161755174398422,0.9448712155445096
mmlu-pro,0.0,1e-05,0.025,0.5,25,300,286.92633056640625,0.1159656047821044,0.9530049706281066
mmlu-pro,0.0,1e-05,0.025,0.5,26,300,287.40350341796875,0.1161388978362083,0.9530049706281066
mmlu-pro,0.0,1e-05,0.025,0.5,27,300,287.9042053222656,0.116276778280735,0.9525530953456848
mmlu-pro,0.0,1e-05,0.025,0.5,28,300,287.2178039550781,0.1160118579864502,0.956168097605061
mmlu-pro,0.0,1e-05,0.025,0.5,29,300,287.766357421875,0.1161013320088386,0.9525530953456848
mmlu-pro,0.0,1e-05,0.025,0.5,30,300,287.3343811035156,0.1161806508898735,0.9489380930863082
mmlu-pro,0.0,1e-05,0.025,0.5,31,300,287.28558349609375,0.1161075383424758,0.9525530953456848
mmlu-pro,0.0,1e-05,0.025,0.5,32,300,287.6421203613281,0.1162033230066299,0.9489380930863082
mmlu-pro,0.0,1e-05,0.025,0.5,33,300,287.687744140625,0.1162550374865531,0.9493899683687302
mmlu-pro,0.0,1e-05,0.025,0.5,34,300,287.8106689453125,0.1163226589560508,0.947582467239042
mmlu-pro,0.0,1e-05,0.025,0.5,35,300,287.4166259765625,0.1161775216460228,0.9453230908269318
mmlu-pro,0.0,1e-05,0.025,0.5,36,300,287.851318359375,0.1162855923175811,0.948034342521464
mmlu-pro,0.0,1e-05,0.025,0.5,37,300,287.6145324707031,0.1163877546787262,0.9444193402620876
mmlu-pro,0.0,1e-05,0.025,0.5,38,300,287.3447570800781,0.116149291396141,0.9511974694984184
mmlu-pro,0.0,1e-05,0.025,0.5,39,300,287.4947814941406,0.1161843314766883,0.9521012200632626
mmlu-pro,0.0,1e-05,0.025,0.5,40,300,287.4256591796875,0.1159927174448967,0.946226841391776
mmlu-pro,0.0,1e-05,0.025,0.5,41,300,287.5738830566406,0.11616862565279,0.9530049706281066
mmlu-pro,0.0,1e-05,0.025,0.5,42,300,287.8761901855469,0.116324208676815,0.9507455942159964
mmlu-pro,0.0,1e-05,0.025,0.5,43,300,287.4450988769531,0.1160640940070152,0.9516493447808404
mmlu-pro,0.0,1e-05,0.025,0.5,44,300,287.3190002441406,0.1161181107163429,0.9575237234523272
mmlu-pro,0.0,1e-05,0.025,0.5,45,300,287.0912780761719,0.1161307021975517,0.9539087211929508
mmlu-pro,0.0,1e-05,0.025,0.5,46,300,287.6457214355469,0.1160426810383796,0.9602349751468596
mmlu-pro,0.0,1e-05,0.025,0.5,47,300,287.68865966796875,0.1163651496171951,0.9530049706281066
mmlu-pro,0.0,1e-05,0.025,0.5,48,300,287.2652282714844,0.1159024313092231,0.9543605964753727
mmlu-pro,0.0,1e-05,0.025,0.5,49,300,287.94305419921875,0.1163600757718086,0.9502937189335744
mmlu-pro,0.0,1e-05,0.025,0.5,50,300,286.99908447265625,0.1158194616436958,0.9511974694984184
