dataset,n_full_obs,mcar_obs_prob,K,lmbda,split,train_loss,val_loss,train_acc,val_acc
mmlu-pro,,1.0,64,0.0001,4,0.1578659415245056,0.2282362580299377,0.9317496850864124,0.9100493055896504
mmlu-pro,,1.0,64,1e-05,4,0.1578691452741623,0.2282554060220718,0.931748216889352,0.9100511848822188
mmlu-pro,50.0,0.1,8,10.0,0,0.6710573434829712,0.671326220035553,0.7880479821986157,0.7846599373688851
mmlu-pro,50.0,0.1,8,1.0,0,0.3104378283023834,0.3379144370555877,0.8711266653076855,0.8569422486394455
mmlu-pro,50.0,0.1,8,0.1,0,0.2695860266685486,0.3308766782283783,0.879955915664418,0.8599217871150162
mmlu-pro,50.0,0.1,8,0.01,0,0.2656817138195038,0.342572957277298,0.8805103038085131,0.8593137180383692
mmlu-pro,50.0,0.1,8,0.001,0,0.2653027176856994,0.3449346125125885,0.8805598367698413,0.8591617007692074
mmlu-pro,50.0,0.1,8,0.0001,0,0.2652660310268402,0.3451926708221435,0.8805550739850982,0.8591483992581558
mmlu-pro,50.0,0.1,8,1e-05,0,0.2652623951435089,0.345218688249588,0.8805526925927266,0.8591483992581558
mmlu-pro,50.0,0.1,16,10.0,0,0.6498225331306458,0.6503997445106506,0.7950997612892287,0.7916508315344624
mmlu-pro,50.0,0.1,16,1.0,0,0.2485512644052505,0.3149199187755584,0.8990442043577576,0.8665573409139278
mmlu-pro,50.0,0.1,16,0.1,0,0.1959452480077743,0.3962897360324859,0.914571835177166,0.8597165638016478
mmlu-pro,50.0,0.1,16,0.01,0,0.1887771487236023,0.4904858767986297,0.9165745861616336,0.8565831078410507
mmlu-pro,50.0,0.1,16,0.001,0,0.1881231665611267,0.5083469152450562,0.916720327374772,0.8560700495576298
mmlu-pro,50.0,0.1,16,0.0001,0,0.1880614608526229,0.5102940797805786,0.9167584296527168,0.8560586482624426
mmlu-pro,50.0,0.1,16,1e-05,0,0.1880553364753723,0.5104904770851135,0.9167636687159342,0.8560510473989845
mmlu-pro,50.0,0.1,32,10.0,0,0.6132490038871765,0.6143414974212646,0.7959165788726679,0.7924736250038005
mmlu-pro,50.0,0.1,32,1.0,0,0.1657701134681701,0.348222017288208,0.9413948862932772,0.8579227600255389
mmlu-pro,50.0,0.1,32,0.1,0,0.0739784464240074,1.209824562072754,0.976597104607899,0.8251117326928339
mmlu-pro,50.0,0.1,32,0.01,0,0.0604962594807148,2.1748218536376953,0.9791280484203748,0.8184704782463288
mmlu-pro,50.0,0.1,32,0.001,0,0.0591435246169567,2.378258466720581,0.9793080816836636,0.8178605089538171
mmlu-pro,50.0,0.1,32,0.0001,0,0.0590134114027023,2.4005532264709473,0.9793257039872127,0.8177388951384877
mmlu-pro,50.0,0.1,32,1e-05,0,0.0590004362165927,2.402806043624878,0.9793261802656872,0.8177331944908942
mmlu-pro,50.0,0.1,64,10.0,0,0.5508139133453369,0.5529858469963074,0.8077906775156553,0.8043423732936061
mmlu-pro,50.0,0.1,64,1.0,0,0.0697987079620361,0.4357269406318664,0.9966117549337687,0.8436768416892159
mmlu-pro,50.0,0.1,64,0.1,0,0.0054544229060411,1.2882932424545288,1.0,0.8147004499711167
mmlu-pro,50.0,0.1,64,0.01,0,0.0011300309561192,2.2330992221832275,1.0,0.80261697728862
mmlu-pro,50.0,0.1,64,0.001,0,0.0007204045541584,2.551503419876098,1.0,0.8002379070262382
mmlu-pro,50.0,0.1,64,0.0001,0,0.0006833699299022,2.5896432399749756,1.0,0.7998540634216047
mmlu-pro,50.0,0.1,64,1e-05,0,0.0006797109963372,2.5935323238372803,1.0,0.7998426621264175
mmlu-pro,50.0,0.1,8,10.0,1,0.6710863709449768,0.6712332963943481,0.7878990457090236,0.7861871516350563
mmlu-pro,50.0,0.1,8,1.0,1,0.3088332116603851,0.3367592692375183,0.8713797461001296,0.8567884794643027
mmlu-pro,50.0,0.1,8,0.1,1,0.2687855362892151,0.3326498866081238,0.8799232262862835,0.8588334886906234
mmlu-pro,50.0,0.1,8,0.01,1,0.2651901245117187,0.344258576631546,0.8804222268567059,0.8583198584663382
mmlu-pro,50.0,0.1,8,0.001,1,0.2648378014564514,0.3466111123561859,0.8804350827874324,0.8581467460574125
mmlu-pro,50.0,0.1,8,0.0001,1,0.2648037374019623,0.3468692600727081,0.8804169892552988,0.8581334297182643
mmlu-pro,50.0,0.1,8,1e-05,1,0.2648003399372101,0.3468953371047973,0.8804131800906391,0.8581277227157722
mmlu-pro,50.0,0.1,16,10.0,1,0.6490810513496399,0.6495001912117004,0.795340248871773,0.7933037837426522
mmlu-pro,50.0,0.1,16,1.0,1,0.2484297305345535,0.3151920437812805,0.8989885715537297,0.8657846177259497
mmlu-pro,50.0,0.1,16,0.1,1,0.1955403089523315,0.4006194770336151,0.9147142317057724,0.8585728689101527
mmlu-pro,50.0,0.1,16,0.01,1,0.1883289068937301,0.5009453296661377,0.9169587819815084,0.8549051686419237
mmlu-pro,50.0,0.1,16,0.001,1,0.1876561790704727,0.5199201703071594,0.9171373365749323,0.8544638271158712
mmlu-pro,50.0,0.1,16,0.0001,1,0.1875922232866287,0.5219618678092957,0.917156382398231,0.854343980063538
mmlu-pro,50.0,0.1,16,1e-05,1,0.1875858455896377,0.5221676230430603,0.9171578108349784,0.8543344683927179
mmlu-pro,50.0,0.1,32,10.0,1,0.613349974155426,0.6141279935836792,0.795865437449231,0.7938954096676623
mmlu-pro,50.0,0.1,32,1.0,1,0.1656233370304107,0.350209891796112,0.941739778820854,0.8575969714840109
mmlu-pro,50.0,0.1,32,0.1,1,0.0737883821129798,1.2013566493988037,0.9764969779039882,0.8259135959822702
mmlu-pro,50.0,0.1,32,0.01,1,0.05988534912467,2.1676480770111084,0.979545738068506,0.8192839614206632
mmlu-pro,50.0,0.1,32,0.001,1,0.0585154257714748,2.370206356048584,0.9796962000725646,0.8184450320543306
mmlu-pro,50.0,0.1,32,0.0001,1,0.0583847612142562,2.392627239227295,0.9797090560032912,0.8184602507276428
mmlu-pro,50.0,0.1,32,1e-05,1,0.0583717338740825,2.3948957920074463,0.9797147697502808,0.8184583483934788
mmlu-pro,50.0,0.1,64,10.0,1,0.5514991879463196,0.5532663464546204,0.807531956510767,0.8046226720185667
mmlu-pro,50.0,0.1,64,1.0,1,0.0695527866482734,0.4360574781894684,0.9966665047771688,0.8441265432685906
mmlu-pro,50.0,0.1,64,0.1,1,0.005422624759376,1.3025317192077637,1.0,0.8138794300606844
mmlu-pro,50.0,0.1,64,0.01,1,0.0011217850260436,2.2360401153564453,1.0,0.8025757604580821
mmlu-pro,50.0,0.1,64,0.001,1,0.0007135194027796,2.5524139404296875,1.0,0.8003766621644758
mmlu-pro,50.0,0.1,64,0.0001,1,0.0006766263395547,2.590331792831421,1.0,0.8000437536857724
mmlu-pro,50.0,0.1,64,1e-05,1,0.0006729820743203,2.594198226928711,1.0,0.799998097665836
mmlu-pro,50.0,0.1,8,10.0,2,0.6710951924324036,0.6712468862533569,0.7880746404859753,0.7860068356864723
mmlu-pro,50.0,0.1,8,1.0,2,0.3101627826690674,0.3381253182888031,0.8715013164765936,0.8565096108990166
mmlu-pro,50.0,0.1,8,0.1,2,0.2695470750331878,0.331133484840393,0.8799280995752334,0.8594857050372726
mmlu-pro,50.0,0.1,8,0.01,2,0.2657583951950073,0.3427146971225738,0.8803722408378608,0.8587735750259432
mmlu-pro,50.0,0.1,8,0.001,2,0.2653992772102356,0.3451214432716369,0.8803722408378608,0.8585964945685806
mmlu-pro,50.0,0.1,8,0.0001,2,0.2653648257255554,0.3453853726387024,0.8803665284100457,0.8585831659320049
mmlu-pro,50.0,0.1,8,1e-05,2,0.2653613686561584,0.3454120457172394,0.8803665284100457,0.8585850700229443
mmlu-pro,50.0,0.1,16,10.0,2,0.6490653157234192,0.6494718194007874,0.7950347577430769,0.7928710835229491
mmlu-pro,50.0,0.1,16,1.0,2,0.2483540177345276,0.3142584860324859,0.8993613029667018,0.8667288669706865
mmlu-pro,50.0,0.1,16,0.1,2,0.1967871189117431,0.3958131372928619,0.9141407818314328,0.8587621504803069
mmlu-pro,50.0,0.1,16,0.01,2,0.1892637610435485,0.4844261705875397,0.916420992600978,0.8562201890762303
mmlu-pro,50.0,0.1,16,0.001,2,0.1885402947664261,0.5017042756080627,0.9165361932285832,0.8556584822491122
mmlu-pro,50.0,0.1,16,0.0001,2,0.1884713172912597,0.5035989880561829,0.9165714198667768,0.8556070717937488
mmlu-pro,50.0,0.1,16,1e-05,2,0.1884644478559494,0.5037903189659119,0.9165742760806842,0.8555975513390519
mmlu-pro,50.0,0.1,32,10.0,2,0.6130727529525757,0.6138430833816528,0.7962253229068832,0.7940440035416092
mmlu-pro,50.0,0.1,32,1.0,2,0.1661271303892135,0.349414587020874,0.9415904255901532,0.8580138427411294
mmlu-pro,50.0,0.1,32,0.1,2,0.0736923515796661,1.209072232246399,0.9766204610595696,0.8257775831373706
mmlu-pro,50.0,0.1,32,0.01,2,0.0598540008068084,2.167130470275879,0.9793467172343472,0.8198653807705856
mmlu-pro,50.0,0.1,32,0.001,2,0.0586042068898677,2.3684561252593994,0.9794485888637172,0.819092319849196
mmlu-pro,50.0,0.1,32,0.0001,2,0.0584835447371006,2.3906235694885254,0.9794733427175828,0.8190294848481964
mmlu-pro,50.0,0.1,32,1e-05,2,0.0584715232253074,2.392864465713501,0.979473818753234,0.8190409093938327
mmlu-pro,50.0,0.1,64,10.0,2,0.5511126518249512,0.5528611540794373,0.8078167910151127,0.8050953473537896
mmlu-pro,50.0,0.1,64,1.0,2,0.0697586014866828,0.4371858835220337,0.9966387122664392,0.8434627797823624
mmlu-pro,50.0,0.1,64,0.1,2,0.0054553560912609,1.2916675806045532,1.0,0.8145453506859488
mmlu-pro,50.0,0.1,64,0.01,2,0.0011316236341372,2.2221977710723877,1.0,0.8026314536782276
mmlu-pro,50.0,0.1,64,0.001,2,0.0007212273194454,2.535507917404175,1.0,0.8004798309167246
mmlu-pro,50.0,0.1,64,0.0001,2,0.0006841364083811,2.5730364322662354,1.0,0.8003446404600284
mmlu-pro,50.0,0.1,64,1e-05,2,0.0006804721197113,2.576862096786499,1.0,0.8003065586412407
mmlu-pro,50.0,0.1,8,10.0,3,0.6711044311523438,0.6712400913238525,0.7876193439780597,0.7860522349619399
mmlu-pro,50.0,0.1,8,1.0,3,0.3098684251308441,0.33710578083992,0.8718217365197093,0.8573974092374611
mmlu-pro,50.0,0.1,8,0.1,3,0.2689422965049743,0.3319852650165558,0.8799846600225151,0.8590361905488677
mmlu-pro,50.0,0.1,8,0.01,3,0.2652799785137176,0.3442401587963104,0.8805042399050672,0.8583417593528817
mmlu-pro,50.0,0.1,8,0.001,3,0.2649348378181457,0.3466343879699707,0.8805023366820542,0.8582292004502357
mmlu-pro,50.0,0.1,8,0.0001,3,0.2649018168449402,0.3468950688838959,0.880518989883418,0.8582253848942137
mmlu-pro,50.0,0.1,8,1e-05,3,0.2648985385894775,0.3469213545322418,0.8805227963294441,0.8582272926722246
mmlu-pro,50.0,0.1,16,10.0,3,0.6491972804069519,0.6495802402496338,0.7959421382139584,0.7939218192571112
mmlu-pro,50.0,0.1,16,1.0,3,0.2498180419206619,0.3156124651432037,0.8987866001680546,0.86602438140298
mmlu-pro,50.0,0.1,16,0.1,3,0.1961411237716674,0.3958612382411957,0.9144953271116972,0.8592117061258752
mmlu-pro,50.0,0.1,16,0.01,3,0.1887566745281219,0.4914930760860443,0.91668688841118,0.8555716656809813
mmlu-pro,50.0,0.1,16,0.001,3,0.1880347728729248,0.5102959871292114,0.9167967995401812,0.8549936089436633
mmlu-pro,50.0,0.1,16,0.0001,3,0.1879647225141525,0.5123482346534729,0.9168105979070256,0.8549516378274225
mmlu-pro,50.0,0.1,16,1e-05,3,0.1879577338695526,0.5125551819801331,0.9168125011300386,0.8549440067153786
mmlu-pro,50.0,0.1,32,10.0,3,0.6131802201271057,0.6138781309127808,0.796112476673623,0.7940725337199763
