dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,ess_multiplier,ess_multiplier_serr,coverage,coverage_serr,mean_width,mean_width_serr
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,49.5,1.7166015903118048,0.0003823715808350617,0.9473462929475588,0.0004313978513826682,0.12145636588335033,4.645779205807153e-06
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,49.5,1.6707337513191636,0.00022672432529121026,0.9492224231464738,0.00048178476602387814,0.08598042502999302,2.214088092490556e-06
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.075,49.5,1.6260724729594047,0.00020673253767645463,0.9489737793851718,0.0004874408517262273,0.07018243052065368,1.4848961897346613e-06
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.1,49.5,1.5818657976174901,0.0001657847405944412,0.9488562386980108,0.0004474738907101792,0.06080131899565453,1.1758775159128005e-06
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.125,49.5,1.5377847589793765,0.0001433786073311135,0.9490822784810127,0.00048018705986412416,0.05439465425908561,8.727999409242221e-07
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.15,49.5,1.4936119927509288,0.00012823402820506558,0.9488019891500903,0.00045127400967569865,0.04964591711759562,7.086173090743884e-07
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.175,49.5,1.449699036917639,0.00011694882850085916,0.949380650994575,0.0004237695028156659,0.04596993181854482,6.570564455426827e-07
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.2,49.5,1.4056826433848053,0.00011044306492856658,0.9489692585895118,0.0005382273144860934,0.04300622101873155,5.733664619612497e-07
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.225,49.5,1.361639527402429,9.496100695897447e-05,0.9489737793851718,0.0004866779209262018,0.04054120898246761,5.021629425828304e-07
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.25,49.5,1.3177474214679157,8.576558860970152e-05,0.9494575045207957,0.0004991314447519926,0.038464388065040066,4.487047464933845e-07
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.025,49.5,1.7166072328991502,0.00038257437289714984,0.947382459312839,0.000426800443357002,0.12145616643130774,4.648028468948673e-06
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.05,49.5,1.6707446348674602,0.00022687485092746495,0.949254068716094,0.0004725914091411825,0.08598014503717417,2.2150938217193746e-06
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.075,49.5,1.6261004288499554,0.00020678549206793956,0.9490732368896926,0.0004851365453447958,0.07018182724714275,1.4864443068493535e-06
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.1,49.5,1.581871697418311,0.0001657017505936336,0.9488517179023508,0.0004494241335819143,0.06080120559781785,1.1770410964081559e-06
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.125,49.5,1.5377886552830113,0.00014333257362423977,0.9490822784810127,0.00048318710370223137,0.054394585341215086,8.726508949337011e-07
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.15,49.5,1.493617374123836,0.0001281778706820577,0.948878842676311,0.0004449768077387597,0.04964582767337556,7.077703169497343e-07
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.175,49.5,1.4497076223193741,0.00011694223962652889,0.9494077757685352,0.00043042244495821206,0.045969795696437304,6.568299031893923e-07
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.2,49.5,1.4056935287318806,0.00011039615994683676,0.9489195298372514,0.0005396910834518646,0.04300605449825521,5.736385633279512e-07
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.225,49.5,1.361654516959825,9.497144879457055e-05,0.9490641952983725,0.0004909602924462932,0.04054098583757872,5.025646691615321e-07
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.25,49.5,1.317761771761883,8.57794395807951e-05,0.9494891500904159,0.000493886541493752,0.038464178629219484,4.488806882085113e-07
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.025,49.5,1.7864037445102767,0.00040233773633150386,0.94751356238698,0.00042986596280868427,0.11905982658267016,4.988345920059943e-06
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.05,49.5,1.755868744854444,0.0002415920737255078,0.9490958408679927,0.0005046841470159824,0.08387010723352427,2.587214269939924e-06
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.075,49.5,1.7202230384275112,0.0002220217700130137,0.9488291139240507,0.000448857634906922,0.06823480933904644,1.692266676471172e-06
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.1,49.5,1.6810567856219563,0.00018123952476426956,0.9488471971066907,0.0004726350897484461,0.058980253711342766,1.3223429724344068e-06
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.125,49.5,1.639815405236206,0.00016009763809794964,0.9489918625678119,0.000452264698060358,0.052675240561366035,1.0415636727149348e-06
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.15,49.5,1.5969348006006256,0.00014478361656688102,0.9490913200723327,0.00046566145978402105,0.04801300112158056,8.623348879361983e-07
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.175,49.5,1.5532525378348856,0.00013152796110250072,0.9486121157323688,0.0004142408469321894,0.04441112332046027,7.781090905337352e-07
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.2,49.5,1.5086969659775369,0.0001236616807023007,0.949127486437613,0.00045319491798574306,0.04151202540844676,7.049008916815389e-07
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.225,49.5,1.4635361008091565,0.00010969458063538698,0.9494846292947559,0.00043861908869179166,0.03910443916916842,6.465958570532194e-07
