dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,seed,N_B,N_labels,mean_width,coverage,ess_multiplier
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,34,239,229.07867431640625,0.1287205517292022,0.9566003616636528,1.5331943748105517
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,35,239,228.85760498046875,0.1286559104919433,0.943490054249548,1.534801139927428
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,36,239,229.1302032470703,0.1286932528018951,0.9489150090415912,1.5268585851525711
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,37,239,229.131103515625,0.1287671029567718,0.9498191681735986,1.5355563459389296
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,38,239,228.70706176757812,0.1285242736339569,0.953887884267631,1.5333720681393475
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,39,239,228.9706268310547,0.1286466270685196,0.9421338155515372,1.5288851845176805
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,40,239,228.71926879882812,0.128397911787033,0.9484629294755876,1.5339491837090264
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,41,239,228.88156127929688,0.1285550594329834,0.9484629294755876,1.5318230632554624
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,42,239,229.3033447265625,0.1287336945533752,0.9507233273056056,1.5314479769392892
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,43,239,228.9466552734375,0.1286163628101349,0.9511754068716094,1.5313367791249928
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,44,239,228.89874267578125,0.1285813897848129,0.9534358047016276,1.5352332036211631
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,45,239,228.82278442382812,0.1285667568445205,0.9561482820976492,1.536005263244382
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,46,239,229.03843688964844,0.1285147070884704,0.9498191681735986,1.5329178133163577
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,47,239,228.99774169921875,0.1288544684648513,0.9529837251356238,1.52652462163859
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,48,239,228.61981201171875,0.1283835619688034,0.9466546112115732,1.5356498766164506
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,49,239,229.15054321289065,0.128790944814682,0.9561482820976492,1.5278792518153974
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,50,239,228.63427734375,0.1283474266529083,0.950271247739602,1.5361592556018664
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,51,239,228.8508148193359,0.1285742223262787,0.955244122965642,1.5325527892001116
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,52,239,228.6130218505859,0.1281535476446151,0.948010849909584,1.5366325869181832
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,53,239,229.14195251464844,0.1288085728883743,0.9534358047016276,1.527387882783848
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,54,239,228.53707885742188,0.1283671557903289,0.9561482820976492,1.5342653008814875
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,55,239,229.0072326660156,0.1284971088171005,0.9489150090415912,1.535974723532159
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,56,239,228.9046173095703,0.1284067183732986,0.9534358047016276,1.5350051914731357
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,57,239,228.9755859375,0.128667801618576,0.9452983725135624,1.5279513769532118
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,58,239,228.9873504638672,0.1286977976560592,0.9529837251356238,1.531812566209283
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,59,239,228.77577209472656,0.1286069303750991,0.9511754068716094,1.530548951112508
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,60,239,228.65054321289065,0.1284206509590149,0.9570524412296564,1.530632113780505
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,61,239,229.0194396972656,0.1287862509489059,0.9561482820976492,1.5345650905423613
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,62,239,229.0678253173828,0.1286141872406005,0.9529837251356238,1.5316693275717896
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,63,239,228.80923461914065,0.1284601092338562,0.950271247739602,1.5295284004436358
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,64,239,228.92857360839844,0.1287454515695572,0.9534358047016276,1.528202805457486
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,65,239,228.96157836914065,0.1285444349050521,0.950271247739602,1.529062864695575
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,66,239,228.8648376464844,0.1284143924713134,0.9520795660036168,1.5383970881010953
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,67,239,229.302001953125,0.1287174075841903,0.9529837251356238,1.5320304266360176
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,68,239,228.7445831298828,0.1282419264316558,0.9466546112115732,1.537164094355712
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,69,239,229.0022735595703,0.1285896599292755,0.9452983725135624,1.5292414315377056
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,70,239,228.7902374267578,0.1286347210407257,0.951627486437613,1.5328550681441795
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,71,239,228.89015197753903,0.128600999712944,0.9507233273056056,1.5292666300305318
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,72,239,229.1089630126953,0.1286979764699936,0.9489150090415912,1.5319519010128828
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,73,239,228.9507293701172,0.128496304154396,0.9484629294755876,1.5327392261854507
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,74,239,228.9412384033203,0.1286275088787078,0.9421338155515372,1.5309615975132846
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,75,239,229.1170959472656,0.1285949945449829,0.948010849909584,1.5338020087619526
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,76,239,228.87884521484375,0.1284988522529602,0.9466546112115732,1.535229201108431
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,77,239,229.10443115234375,0.1286428868770599,0.9534358047016276,1.5342460561741935
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,78,239,228.8752288818359,0.1286200135946273,0.9425858951175408,1.5263393363159823
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,79,239,228.4841766357422,0.1284186691045761,0.9543399638336348,1.5327277854888288
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,80,239,229.00588989257812,0.1286270767450332,0.9507233273056056,1.5289204979956226
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,81,239,228.8915100097656,0.1285874396562576,0.9579566003616636,1.530555028924747
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,82,239,228.97650146484375,0.1286011040210724,0.9566003616636528,1.5304479558130568
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,83,239,228.9014587402344,0.128689557313919,0.9493670886075948,1.5281100522217208
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,84,239,228.7414093017578,0.1286011934280395,0.951627486437613,1.5272219666713605
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,85,239,229.1537170410156,0.1286216825246811,0.950271247739602,1.5339213588272433
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,86,239,228.98011779785156,0.1286784559488296,0.9443942133815552,1.5277673543410597
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,87,239,228.85037231445312,0.1285970658063888,0.9507233273056056,1.5328345935917718
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,88,239,228.78887939453125,0.1286516487598419,0.9493670886075948,1.528623484099673
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,89,239,228.6903381347656,0.1282777190208435,0.9498191681735986,1.533580307893349
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,90,239,228.8851776123047,0.128479391336441,0.9534358047016276,1.5342344006475654
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,91,239,228.8806610107422,0.1284709274768829,0.9561482820976492,1.5336820595603204
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,92,239,228.6740570068359,0.1284154951572418,0.9466546112115732,1.5343276248859146
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,93,239,228.7585906982422,0.128455638885498,0.9475587703435804,1.5334943361528222
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,94,239,228.98191833496097,0.1287125796079635,0.950271247739602,1.5321204266714754
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,95,239,228.87025451660156,0.1285746395587921,0.9511754068716094,1.5319147809843467
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,96,239,228.618896484375,0.1283674836158752,0.9471066907775768,1.5274114527642342
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,97,239,228.91908264160156,0.128640279173851,0.9498191681735986,1.5291586896727634
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,98,239,228.73779296875,0.1286572813987732,0.9498191681735986,1.529933063937855
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,99,239,228.4186248779297,0.1282491832971573,0.9511754068716094,1.5359220820275157
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,0,478,462.7644653320313,0.0892449840903282,0.959764918625678,1.5525033688671908
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,1,478,463.1247863769531,0.0892708301544189,0.9584086799276672,1.5529769070174901
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,2,478,463.0646667480469,0.0892640873789787,0.9561482820976492,1.548913373323789
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,3,478,463.3869934082031,0.0892190635204315,0.9443942133815552,1.554312690388804
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,4,478,462.9823913574219,0.0891480296850204,0.9493670886075948,1.5565823129792122
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,5,478,462.9620361328125,0.0892558023333549,0.9475587703435804,1.549605959321745
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,6,478,463.0492858886719,0.0892290100455284,0.953887884267631,1.5495586479656194
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,7,478,463.4981994628906,0.0892670005559921,0.9511754068716094,1.5526568880140381
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,8,478,462.9145812988281,0.089256152510643,0.939873417721519,1.5503680327589444
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,9,478,462.6993713378906,0.0890953093767166,0.9448462929475588,1.5521505375404725
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,10,478,462.9407958984375,0.0891399383544921,0.953887884267631,1.5560338297119882
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,11,478,463.17767333984375,0.0892846286296844,0.950271247739602,1.5500528224450574
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,12,478,463.277587890625,0.0892319604754448,0.9489150090415912,1.5524361618018159
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,13,478,462.9091491699219,0.089222677052021,0.9466546112115732,1.554025644686674
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,14,478,462.948486328125,0.0891270339488983,0.9498191681735986,1.5517812861420637
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,15,478,463.09765625,0.0892561003565788,0.9525316455696202,1.5496910029091153
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,16,478,462.5646667480469,0.0891410484910011,0.9498191681735986,1.55378409378956
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,17,478,462.7974853515625,0.0891724824905395,0.9534358047016276,1.5525653701315227
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,18,478,462.63519287109375,0.0891778543591499,0.9443942133815552,1.5514199665904715
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,19,478,463.23101806640625,0.0892804414033889,0.9416817359855334,1.5477827971426965
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,20,478,463.2030029296875,0.0891700983047485,0.9439421338155516,1.5556322648659835
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,21,478,463.2233276367187,0.0892267525196075,0.9547920433996384,1.5530619094236566
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,22,478,462.8359069824219,0.0892530158162117,0.9570524412296564,1.5509888695044105
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,23,478,463.21295166015625,0.089219145476818,0.948010849909584,1.5516074296504847
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,24,478,462.9557189941406,0.0892798826098442,0.9452983725135624,1.5536583434065663
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,25,478,462.9435119628906,0.0891240760684013,0.9466546112115732,1.5535689267823967
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,26,478,462.7233276367187,0.0892068296670913,0.9471066907775768,1.5513808552160768
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,27,478,462.4172668457031,0.0891523286700248,0.9475587703435804,1.5515561835555423
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,28,478,463.0465698242187,0.0891991481184959,0.9452983725135624,1.552871682541196
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,29,478,462.8860778808594,0.0891949385404586,0.9629294755877034,1.5511846148911548
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,30,478,462.90869140625,0.0892537087202072,0.9493670886075948,1.5540210425339493
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,31,478,462.6017150878906,0.089269533753395,0.9452983725135624,1.5478865007675409
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,32,478,463.0325622558594,0.0892098620533943,0.951627486437613,1.5535515824119768
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,33,478,463.2626647949219,0.0892863869667053,0.9511754068716094,1.5487004929707993
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,34,478,463.1238708496094,0.0892800986766815,0.9593128390596743,1.5527135466681758
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,35,478,462.9774169921875,0.0892038866877555,0.9484629294755876,1.5543763290451693
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,36,478,463.3336486816406,0.0892242416739463,0.9525316455696202,1.5501569571775777
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,37,478,462.698486328125,0.0891580209136009,0.9452983725135624,1.555985781970916
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,38,478,462.6736145019531,0.0891782268881797,0.950271247739602,1.5518110017885287
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,39,478,462.86529541015625,0.0892110094428062,0.9484629294755876,1.548250968133621
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,40,478,462.7694396972656,0.089129626750946,0.955244122965642,1.5527393410748445
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,41,478,462.8716125488281,0.0891745164990425,0.9466546112115732,1.5531217265363455
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,42,478,463.4769592285156,0.0892794653773307,0.9425858951175408,1.552933576251326
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,43,478,463.0687255859375,0.089299626648426,0.9466546112115732,1.5495608633362998
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,44,478,462.893310546875,0.0891586765646934,0.9579566003616636,1.5547660582812899
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,45,478,463.06781005859375,0.0892100110650062,0.9520795660036168,1.5524793722710613
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,46,478,463.0935974121094,0.0892031118273735,0.9452983725135624,1.5524566399328874
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,47,478,463.2934265136719,0.0893516764044761,0.953887884267631,1.5491636995536244
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,48,478,462.6835632324219,0.0890706181526184,0.9525316455696202,1.5556312800760332
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,49,478,463.19439697265625,0.089283712208271,0.9452983725135624,1.5502240730839625
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,50,478,462.68310546875,0.0891281589865684,0.9566003616636528,1.555983184598758
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,51,478,462.8806762695313,0.0892049968242645,0.9466546112115732,1.5498722416241792
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,52,478,462.896484375,0.0890799611806869,0.9525316455696202,1.5559363131846287
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,53,478,463.1424255371094,0.0892256498336792,0.9471066907775768,1.5507890648684284
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,54,478,462.5574340820313,0.0891666263341903,0.9584086799276672,1.5522333388467433
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,55,478,463.2703552246094,0.0891884267330169,0.955244122965642,1.5533327116526534
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,56,478,463.15869140625,0.0891843885183334,0.9489150090415912,1.5503745167489036
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,57,478,463.1704406738281,0.0892269611358642,0.950271247739602,1.5511253341538611
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,58,478,463.1989135742187,0.0892783626914024,0.9525316455696202,1.553873732387766
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,59,478,462.50091552734375,0.0891562104225158,0.950271247739602,1.5525506481185265
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,60,478,462.7518310546875,0.0891433209180831,0.9475587703435804,1.5514458200239056
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,61,478,463.3060607910156,0.0892552956938743,0.9493670886075948,1.5539160420482274
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,62,478,463.0578918457031,0.0892187505960464,0.953887884267631,1.5512479545702624
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,63,478,462.9801330566406,0.0891865417361259,0.9471066907775768,1.550906335232211
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,64,478,463.2888793945313,0.0892639681696891,0.9493670886075948,1.549024092143173
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,65,478,462.85986328125,0.0891909003257751,0.9443942133815552,1.549933688171331
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,66,478,463.0343627929687,0.0891442000865936,0.9507233273056056,1.5539465649067077
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,67,478,463.2970275878906,0.0892371907830238,0.9561482820976492,1.5523490561491733
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,68,478,463.2292175292969,0.0891853868961334,0.9443942133815552,1.554233365000205
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,69,478,463.2102355957031,0.0892003700137138,0.9534358047016276,1.5516036843177252
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,70,478,463.363037109375,0.0892848372459411,0.951627486437613,1.5523320588896306
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,71,478,463.2364501953125,0.0892011001706123,0.951627486437613,1.5515797396546238
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,72,478,463.1053466796875,0.0891833081841468,0.953887884267631,1.5546512118565032
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,73,478,462.74322509765625,0.0891142264008522,0.9534358047016276,1.5545385976856936
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,74,478,463.3526306152344,0.0892412215471267,0.9443942133815552,1.5519402718046074
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,75,478,463.06195068359375,0.0892691612243652,0.9466546112115732,1.5492535672245593
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,76,478,462.7522583007813,0.0891567915678024,0.9475587703435804,1.5551738130627062
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,77,478,463.3345642089844,0.0892178639769554,0.9493670886075948,1.55445797850114
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,78,478,463.0967712402344,0.0892200171947479,0.945750452079566,1.5498015904345113
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,79,478,462.8494567871094,0.0891790390014648,0.951627486437613,1.553464199219554
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,80,478,463.1826477050781,0.0892023891210556,0.9547920433996384,1.5518170656114327
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,81,478,462.9123229980469,0.0891786441206932,0.9570524412296564,1.55137354898354
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,82,478,463.3865356445313,0.0892220884561538,0.9529837251356238,1.5518733057428815
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,83,478,462.8693542480469,0.0891923978924751,0.9525316455696202,1.5487876009703743
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,0.75,84,478,462.8879089355469,0.0892060846090316,0.955244122965642,1.549691997821606
