dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,ess_multiplier,ess_multiplier_serr,coverage,coverage_serr,mean_width,mean_width_serr
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,49.5,1.5318872529540186,0.0003141451907452739,0.950370705244123,0.00042177356692735577,0.12857062861323354,1.3676774753877536e-05
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.05,49.5,1.5521263113424042,0.0002093477198389433,0.9502396021699819,0.0004694744217050304,0.08920511260628697,5.517733920606957e-06
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.075,49.5,1.5619778714311932,0.00018019307791652606,0.9494981916817359,0.0004379914856087085,0.07160790272057052,4.356409464648994e-06
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.1,49.5,1.5679966440035904,0.00015338353599618205,0.9503481012658227,0.0004690256862337417,0.06106963016092773,3.1934879376354324e-06
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.125,49.5,1.572224509787135,0.0001233576136529125,0.9492450271247739,0.00048566731690650214,0.05379559651017184,2.453015978505412e-06
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.15,49.5,1.5753526369812874,0.00010767924537678345,0.9502396021699819,0.0004896634929017474,0.048340768143534614,2.0515881868685396e-06
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.175,49.5,1.5778226936364361,0.00010203063926355097,0.9503345388788427,0.0005124382254459508,0.044063977040350394,1.8019054215764952e-06
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.2,49.5,1.5796158837394387,9.244804190312406e-05,0.950253164556962,0.0005052940789440995,0.04056945513933893,1.5328486854217672e-06
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.225,49.5,1.58124428854289,9.099690960769164e-05,0.9499638336347196,0.00042149448368159956,0.03762082286179061,1.2716110953242725e-06
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.25,49.5,1.5823806766536723,9.480826093499531e-05,0.9499593128390597,0.0004401730430143711,0.03510099619626994,1.134826569036638e-06
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.025,49.5,1.5318855219915721,0.00031413784664491447,0.950366184448463,0.00042171066691740016,0.12857070118188854,1.3670642844787797e-05
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.05,49.5,1.5521215884080763,0.0002093390733815632,0.950253164556962,0.00047139057701818646,0.08920524828135962,5.510807652985885e-06
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.075,49.5,1.5619838949559743,0.000179969781014723,0.9494891500904159,0.00043318388693616776,0.07160776458680625,4.355856502911234e-06
